topic,level,question,optionA,optionB,optionC,optionD,correctOption,explanation
Astrophysics,2,What type of star is our Sun?,Red giant,White dwarf,Neutron star,Yellow dwarf,D,"The Sun is a G-type main-sequence star, often called a yellow dwarf."
Stars,5,What type of star system typically produces Type Ia supernovae?,Single massive stars,Binary systems with white dwarfs,Triple star systems,Neutron star binaries,B,Type Ia supernovae typically occur in binary systems where a white dwarf accretes matter from a companion star.
Telescopes and Observatories,3,What type of telescope is ALMA?,Optical,Radio,X-ray,Gamma-ray,B,ALMA (Atacama Large Millimeter Array) is a radio telescope array observing millimeter and submillimeter wavelengths.
Observatories,2,What type of telescope is Hubble?,Radio telescope,Optical/ultraviolet telescope,X-ray telescope,Gamma-ray telescope,B,The Hubble Space Telescope primarily observes in optical and ultraviolet wavelengths of light.
Telescopes and Observatories,5,What type of telescope is the James Webb Space Telescope?,Infrared space telescope,Optical space telescope,Radio telescope,X-ray telescope,A,JWST is primarily an infrared space telescope designed to observe in near to mid-infrared wavelengths.
Black Holes,3,What was discovered in July 2025 regarding black hole mergers?,The smallest black hole merger,The most massive black hole merger ever detected,The first black hole merger,A merger that created a wormhole,B,"In July 2025, gravitational waves revealed the most massive black hole merger ever detected, setting new records."
Scientists,4,What was Stephen Hawking's most famous contribution to physics?,Theory of relativity,Black hole physics and Hawking radiation,Quantum mechanics,Laws of motion,B,Stephen Hawking is best known for his work on black hole physics and the theoretical prediction of Hawking radiation.
Space Missions,1,What was the first human-made object to leave the Solar System?,Voyager 1,Voyager 2,Pioneer 10,New Horizons,A,Voyager 1 became the first human-made object to enter interstellar space in 2012.
Space Missions,3,What was the primary goal of the Cassini mission?,Study Jupiter,Study Saturn and its moons,Study Mars,Study Venus,B,Cassini's primary goal was to study Saturn its rings and moons during its 13-year mission.
Space Missions,4,What was unique about the DART mission?,First asteroid deflection test,First comet landing,First Mars helicopter,First Jupiter probe,A,DART (Double Asteroid Redirection Test) was the first mission to successfully demonstrate asteroid deflection.
Space Missions,5,What was unique about the InSight mission to Mars?,It studied the atmosphere,It drilled into the surface,It studied Mars' interior,It searched for life,C,InSight was the first mission dedicated to studying Mars' deep interior structure and seismic activity.
Telescopes and Observatories,6,What wavelength does ALMA observe?,Millimeter and submillimeter,Visible light,X-rays,Gamma rays,A,ALMA (Atacama Large Millimeter Array) observes millimeter and submillimeter radio wavelengths.
Observatories,4,What wavelength does the Chandra Observatory detect?,X-rays,Visible light,Infrared,Radio waves,A,The Chandra X-ray Observatory is specifically designed to detect X-rays from astronomical sources.
Observatories,5,What wavelength does the Chandra X-ray Observatory detect?,Visible light,Infrared,X-rays,Radio waves,C,The Chandra X-ray Observatory is specifically designed to detect X-rays from space.
Telescopes and Observatories,6,What wavelength range does the James Webb Space Telescope primarily observe?,Visible light,Near to mid-infrared,X-rays,Radio waves,B,JWST primarily observes in the near to mid-infrared wavelength range.
Galaxies,6,What will eventually happen to the Milky Way and Andromeda galaxies?,They will move apart,They will collide and merge,One will consume the other,They will remain separate,B,The Milky Way and Andromeda galaxies are on a collision course and will merge in about 4.5 billion years.
Curiosities,4,What would happen to your body in the vacuum of space without a spacesuit?,You would freeze instantly,You would explode,You would lose consciousness in about 15 seconds,You would turn into ice,C,"In space without a suit, you would lose consciousness in about 15 seconds due to lack of oxygen, but wouldn't freeze or explode immediately."
Drake Equation,4,When was the Drake Equation first formulated?,1959,1961,1963,1965,B,Frank Drake first formulated the equation in 1961 for the first SETI conference at Green Bank.
Observatories,4,When was the James Webb Space Telescope launched?,2020,2021,2022,2023,B,"The James Webb Space Telescope was launched on December 25, 2021, after years of development and delays."
Comets and Asteroids,3,Where do most asteroids in our Solar System orbit?,Between Earth and Mars,Between Mars and Jupiter,Between Jupiter and Saturn,Beyond Neptune,B,Most asteroids orbit in the asteroid belt between Mars and Jupiter.
Observatories,7,Where is the Hubble Space Telescope located?,On a mountain,In the desert,In space,Under the ocean,C,Hubble orbits Earth in space for a clear view of the universe.
Observatories,5,Where is the James Webb Space Telescope located?,Low Earth orbit,Lagrange point L2,On the Moon,Mars orbit,B,"JWST operates at the Sun-Earth Lagrange point L2, about 1.5 million kilometers from Earth."
Astrophysics,6,Which cosmic event creates the heaviest elements?,Stellar winds,Solar flares,Neutron star collisions,Asteroid impacts,C,Collisions between neutron stars forge heavy elements like gold and platinum.
Solar System,4,Which crater and mountain is Curiosity exploring?,Jezero Crater and Olympus Mons,Gale Crater and Mount Sharp,Victoria Crater and Mount Wilson,Eagle Crater and Mount Hadley,B,Curiosity is exploring Gale Crater and Mount Sharp as part of the Mars Science Laboratory mission.
Astrophysics,1,Which element is most abundant in the universe?,Oxygen,Carbon,Hydrogen,Helium,C,Hydrogen is the most common element in the universe.
Astrophysics,5,Which law explains planetary motion?,Kepler’s laws,Newton's third law,Ohm's law,Hubble's law,A,Kepler’s laws describe the motion of planets around the sun.
Space Missions,2,Which mission first landed humans on the Moon?,Apollo 11,Voyager 1,Challenger,Gemini 4,A,Apollo 11 landed Neil Armstrong and Buzz Aldrin on the Moon in 1969.
Space Missions,4,Which mission is planned to study exoplanet atmospheres in 2029?,JWST,Ariel,TESS,Kepler,B,The Ariel mission launching in 2029 will perform a chemical census of exoplanets by analyzing their atmospheres.
Space Missions,2,"Which mission launched on July 23, 2025, to study magnetic reconnection?",TRACERS,Parker Solar Probe,Solar Orbiter,STEREO,A,"TRACERS launched on July 23, 2025, to study magnetic reconnection when solar activity disrupts Earth's magnetic field."
Solar System,3,Which moon of Saturn has a global ocean under its icy shell?,Titan,Enceladus,Mimas,Rhea,B,Enceladus has a global ocean beneath its thick icy shell and is considered a high-priority target for astrobiology.
Solar System,4,Which NASA mission launched in October 2024 to investigate Jupiter's moon Europa?,Juno,Europa Clipper,Galileo,Cassini,B,"Europa Clipper launched on October 14, 2024, to conduct a detailed investigation of Jupiter's moon Europa."
Drake Equation,7,Which organization primarily uses the Drake Equation for research guidance?,NASA,ESA,SETI Institute,NSF,C,The SETI Institute uses the Drake Equation as a central guide for research on extraterrestrial intelligence.
Solar System,2,Which planet has the most prominent ring system?,Jupiter,Saturn,Uranus,Neptune,B,Saturn has the most prominent and visible ring system of all planets in our Solar System.
Solar System,1,"Which planet is known as the ""Red Planet""?",Venus,Mars,Jupiter,Saturn,B,"Mars is called the Red Planet due to iron oxide (rust) on its surface, giving it a reddish appearance."
Solar System,6,Which planet is known as the Red Planet?,Earth,Mars,Jupiter,Venus,B,Mars is called the Red Planet due to its reddish appearance caused by iron oxide.
Curiosities,1,Which planet rotates on its side?,Mars,Jupiter,Uranus,Neptune,C,Uranus rotates on its side with an axial tilt of about 98 degrees.
Space Missions,3,Which space agency operates the Hera mission?,NASA,ESA,JAXA,Roscosmos,B,ESA (European Space Agency) operates the Hera mission as part of their planetary defense program.
Space Missions,4,Which space agency's mission departed to an asteroid in 2024?,NASA,ESA,JAXA,Roscosmos,B,ESA's Hera mission departed to an asteroid in 2024 as part of their planetary defense program.
Solar System,3,Which space mission provided extensive data about the Saturn system?,Voyager,Galileo,Cassini,New Horizons,C,The Cassini mission provided extensive data about Saturn and its moons during its 13-year mission.
Exoplanets,6,Which space telescope has been most successful at discovering exoplanets?,Hubble,Spitzer,Kepler,Chandra,C,The Kepler Space Telescope discovered thousands of exoplanets using the transit method before being succeeded by TESS.
telescopes and observatories,9,Which telescope is set to replace Hubble?,James Webb Space Telescope,Kepler,Chandra,SOHO,A,The James Webb Telescope is designed for infrared astronomy and deeper space exploration.
Scientists,8,Who developed string theory?,Multiple physicists including Edward Witten,Stephen Hawking alone,Albert Einstein,Richard Feynman,A,String theory was developed by multiple physicists with Edward Witten being one of the leading contributors.
Drake Equation,6,Who developed the Drake Equation?,Carl Sagan,Frank Drake,Enrico Fermi,Jill Tarter,B,Frank Drake developed the equation in 1961 as a framework for discussing the search for extraterrestrial intelligence.
Scientists,8,Who developed the inflationary theory of the universe?,Alan Guth,Stephen Hawking,Roger Penrose,Andrei Linde,A,Alan Guth developed the inflationary theory explaining the early rapid expansion of the universe.
Scientists,6,Who developed the inflationary theory?,Alan Guth,Stephen Hawking,Roger Penrose,Andrei Linde,A,Alan Guth developed the inflationary theory of the universe explaining the early rapid expansion phase.
Relativity,4,Who developed the theory of General Relativity?,Isaac Newton,Nikola Tesla,Albert Einstein,Galileo Galilei,C,Einstein's theory explains gravity as the curvature of spacetime.
Scientists,6,Who developed the theory of stellar nucleosynthesis?,Fred Hoyle,Carl Sagan,Subrahmanyan Chandrasekhar,Hans Bethe,A,Fred Hoyle developed the theory explaining how elements are formed in stars through nuclear fusion.
Scientists,2,Who developed the three laws of motion?,Albert Einstein,Isaac Newton,Galileo Galilei,Johannes Kepler,B,Sir Isaac Newton formulated the three fundamental laws of motion that bear his name.
Scientists,3,Who discovered cosmic microwave background radiation?,Arno Penzias and Robert Wilson,Edwin Hubble and Milton Humason,Albert Einstein and Max Planck,Carl Sagan and Frank Drake,A,Arno Penzias and Robert Wilson accidentally discovered cosmic microwave background radiation in 1965.
Scientists,5,Who discovered pulsars?,Jocelyn Bell Burnell,Marie Curie,Rosalind Franklin,Lise Meitner,A,Jocelyn Bell Burnell discovered the first pulsar in 1967 as a graduate student.
Scientists,4,Who discovered the expanding universe?,Albert Einstein,Edwin Hubble,Stephen Hawking,Carl Sagan,B,Edwin Hubble discovered that the universe is expanding by observing distant galaxies moving away from us.
Scientists,4,Who discovered the first exoplanet around a main-sequence star?,Michel Mayor and Didier Queloz,Geoffrey Marcy and Paul Butler,William Borucki,Sara Seager,A,Michel Mayor and Didier Queloz discovered 51 Pegasi b the first exoplanet around a main-sequence star in 1995.
Fermi Paradox,5,"Who first posed the famous question ""Where is everybody?""",Carl Sagan,Enrico Fermi,Frank Drake,Stephen Hawking,B,"Enrico Fermi first posed this question in 1950, leading to what we now call the Fermi Paradox."
Black Holes,6,Who first predicted the existence of black holes?,Albert Einstein,Stephen Hawking,Karl Schwarzschild,John Wheeler,C,Karl Schwarzschild first found the exact solution to Einstein's field equations that predicted black holes in 1916.
Scientists,10,Who formulated the anthropic principle?,Brandon Carter,Stephen Hawking,Roger Penrose,Frank Tipler,A,Brandon Carter first formulated the anthropic principle in cosmology distinguishing weak and strong versions.
Scientists,2,Who is known as the father of modern rocketry?,Konstantin Tsiolkovsky,Robert Goddard,Wernher von Braun,Sergei Korolev,B,Robert Goddard is known as the father of modern rocketry for his pioneering work with liquid-fueled rockets.
Scientists,5,Who is known for the Drake Equation?,Carl Sagan,Frank Drake,Enrico Fermi,Jill Tarter,B,Frank Drake developed the famous equation for estimating the number of communicating extraterrestrial civilizations.
scientists,4,Who is known for the laws of motion and universal gravitation?,Albert Einstein,Galileo Galilei,Isaac Newton,Carl Sagan,C,Newton's laws laid the foundation for classical mechanics.
Scientists,3,Who proposed the Big Bang theory?,Albert Einstein,Georges Lemaître,Stephen Hawking,Fred Hoyle,B,Georges Lemaître first proposed what became known as the Big Bang theory in 1927.
Scientists,7,Who proposed the concept of dark matter?,Fritz Zwicky,Vera Rubin,Albert Einstein,Stephen Hawking,A,Fritz Zwicky first proposed the concept of dark matter in 1933 based on galaxy cluster observations.
Scientists,9,Who proposed the many-worlds interpretation?,Hugh Everett III,Niels Bohr,Werner Heisenberg,Erwin Schrödinger,A,Hugh Everett III developed the many-worlds interpretation of quantum mechanics in his 1957 doctoral thesis.
